HCON_00026210,6
HCON_00026200,6
HCON_00081550,6
HCON_00189730,6
HCON_00030130,6
HCON_00192260,6
HCON_00071580,6
HCON_00119340,6
HCON_00089950,6
HCON_00035620,6
HCON_00008450,6
HCON_00067400,6
HCON_00004310,6
HCON_00004650,6
HCON_00021810,6
HCON_00157530,6
HCON_00071960,6
HCON_00014070,6
HCON_00026220,6
HCON_00029980,6
HCON_00095380,6
HCON_00154460,6
HCON_00072770,6
HCON_00147420,6
HCON_00039040,6
HCON_00112180,6
HCON_00065870,6
HCON_00012330,6
HCON_00035460,6
HCON_00010560,6
HCON_00061500,6
HCON_00090450,6
HCON_00031810,6
HCON_00071200,2
HCON_00047700,6
HCON_00115270,6
HCON_00189960,6
HCON_00077090,6
HCON_00060890,6
HCON_00026960,6
HCON_00070580,6
HCON_00113000,6
HCON_00104640,6
HCON_00105090,6
HCON_00025180,6
HCON_00079480,6
HCON_00028450,6
HCON_00123530,6
HCON_00008460,6
HCON_00106250,6
HCON_00026170,6
HCON_00089530,6
HCON_00059470,6
HCON_00174840,6
HCON_00010370,6
HCON_00136990,6
HCON_00123930,6
HCON_00019960,6
HCON_00040240,6
HCON_00004790,6
HCON_00034330,6
HCON_00098990,6
HCON_00005260,6
HCON_00084440,6
HCON_00027970,6
HCON_00139330,6
HCON_00063590,6
HCON_00128790,6
HCON_00118740,6
HCON_00135670,6
HCON_00081340,0
HCON_00192160,6
HCON_00192310,6
HCON_00166300,6
HCON_00115720,7
HCON_00080740,6
HCON_00133450,6
HCON_00117720,6
HCON_00001210,2
HCON_00004010,6
HCON_00162960,4
HCON_00029060,6
HCON_00105610,6
HCON_00091550,6
HCON_00192500,6
HCON_00001410,6
HCON_00011760,6
HCON_00061580,6
HCON_00043670,6
HCON_00089320,6
HCON_00142255,6
HCON_00003795,6
HCON_00020320,6
HCON_00047080,6
HCON_00112110,6
HCON_00083050,6
HCON_00011860,0
HCON_00114740,7
HCON_00138220,6
HCON_00028280,6
HCON_00096950,6
HCON_00113630,6
HCON_00129900,6
HCON_00039170,6
HCON_00058850,6
HCON_00087640,6
HCON_00028800,6
HCON_00116280,6
HCON_00029310,6
HCON_00135080,2
HCON_00004780,6
HCON_00024570,6
